API,Series,Date,Value
INTL.57-1-WORL-TBPD.M,54389.0,1974-03-01,56375.0
INTL.57-1-MEX-TBPD.M,453.0,1974-03-01,533.0
INTL.57-1-USA-TBPD.M,9175.935,1974-03-01,8965.387
INTL.57-1-WORL-TBPD.M,54389.0,1974-04-01,57110.0
INTL.57-1-MEX-TBPD.M,453.0,1974-04-01,543.0
INTL.57-1-USA-TBPD.M,9175.935,1974-04-01,8953.967
INTL.57-1-WORL-TBPD.M,54389.0,1974-05-01,57279.0
INTL.57-1-MEX-TBPD.M,453.0,1974-05-01,543.0
INTL.57-1-USA-TBPD.M,9175.935,1974-05-01,8910.581
INTL.57-1-WORL-TBPD.M,54389.0,1974-06-01,56858.0
INTL.57-1-MEX-TBPD.M,453.0,1974-06-01,589.0
INTL.57-1-USA-TBPD.M,9175.935,1974-06-01,8780.233
INTL.57-1-WORL-TBPD.M,54389.0,1974-07-01,55765.0
INTL.57-1-MEX-TBPD.M,453.0,1974-07-01,615.0
INTL.57-1-USA-TBPD.M,9175.935,1974-07-01,8780.129
INTL.57-1-WORL-TBPD.M,54389.0,1974-08-01,54302.0
INTL.57-1-MEX-TBPD.M,453.0,1974-08-01,594.0
INTL.57-1-USA-TBPD.M,9175.935,1974-08-01,8698.871
INTL.57-1-WORL-TBPD.M,54389.0,1974-09-01,54841.0
INTL.57-1-MEX-TBPD.M,453.0,1974-09-01,594.0
INTL.57-1-USA-TBPD.M,9175.935,1974-09-01,8442.933
INTL.57-1-WORL-TBPD.M,54389.0,1974-10-01,55013.0
INTL.57-1-MEX-TBPD.M,453.0,1974-10-01,615.0
INTL.57-1-USA-TBPD.M,9175.935,1974-10-01,8611.258
INTL.57-1-WORL-TBPD.M,54389.0,1974-11-01,55088.0
INTL.57-1-MEX-TBPD.M,453.0,1974-11-01,615.0
INTL.57-1-USA-TBPD.M,9175.935,1974-11-01,8568.8
INTL.57-1-WORL-TBPD.M,54389.0,1974-12-01,54596.0
INTL.57-1-MEX-TBPD.M,453.0,1974-12-01,615.0
INTL.57-1-USA-TBPD.M,9175.935,1974-12-01,8526.516
INTL.57-1-WORL-TBPD.M,54389.0,1975-01-01,52420.0
